keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2019,26,45.11348589175654,2019-06-24,0.0,1.0
bol u grlu,2019,27,47.26174712469733,2019-07-01,0.0,1.0
bol u grlu,2019,28,36.520440959993394,2019-07-08,0.0,1.0
bol u grlu,2019,29,58.00305328940127,2019-07-15,0.0,1.0
bol u grlu,2019,30,53.70653082351969,2019-07-22,0.0,1.0
bol u grlu,2019,31,62.299575755282845,2019-07-29,0.0,1.0
bol u grlu,2019,32,32.223918494111814,2019-08-05,0.0,1.0
bol u grlu,2019,33,64.44783698822363,2019-08-12,0.0,1.0
bol u grlu,2019,34,64.44783698822363,2019-08-19,0.0,1.0
bol u grlu,2019,35,51.5582695905789,2019-08-26,0.0,1.0
bol u grlu,2019,36,66.59609822116443,2019-09-02,0.0,1.0
bol u grlu,2019,37,73.04088191998679,2019-09-09,0.0,1.0
bol u grlu,2019,38,85.93044931763151,2019-09-16,0.0,1.0
bol u grlu,2019,39,70.89262068704599,2019-09-23,0.0,1.0
bol u grlu,2019,40,64.44783698822363,2019-09-30,0.0,1.0
bol u grlu,2019,41,66.59609822116443,2019-10-07,0.0,1.0
bol u grlu,2019,42,77.33740438586835,2019-10-14,0.0,1.0
bol u grlu,2019,43,68.74435945410521,2019-10-21,0.0,1.0
bol u grlu,2019,44,60.151314522342055,2019-10-28,0.0,1.0
bol u grlu,2019,45,66.59609822116443,2019-11-04,0.0,1.0
bol u grlu,2019,46,53.70653082351969,2019-11-11,0.0,1.0
bol u grlu,2019,47,66.59609822116443,2019-11-18,0.0,1.0
bol u grlu,2019,48,75.18914315292757,2019-11-25,0.0,1.0
bol u grlu,2019,49,75.18914315292757,2019-12-02,6.0,2.0
bol u grlu,2019,50,70.89262068704599,2019-12-09,9.0,2.0
bol u grlu,2019,51,64.44783698822363,2019-12-16,10.0,3.0
bol u grlu,2019,52,79.48566561880915,2019-12-23,8.0,3.0
bol u grlu,2020,1,85.93044931763151,2019-12-30,10.0,3.0
bol u grlu,2020,2,88.0787105505723,2020-01-06,24.0,3.0
bol u grlu,2020,3,88.0787105505723,2020-01-13,60.0,3.0
bol u grlu,2020,4,105.2648004140986,2020-01-20,179.0,3.0
bol u grlu,2020,5,131.04393520938805,2020-01-27,235.0,3.0
bol u grlu,2020,6,88.0787105505723,2020-02-03,290.0,5.0
bol u grlu,2020,7,83.78218808469072,2020-02-10,191.0,5.0
bol u grlu,2020,8,90.22697178351308,2020-02-17,83.0,4.0
bol u grlu,2020,9,85.93044931763151,2020-02-24,93.0,3.0
bol u grlu,2020,10,133.19219644232885,2020-03-02,34.0,3.0
bol u grlu,2020,11,214.82612329407877,2020-03-09,37.0,3.0
bol u grlu,2020,12,180.45394356702616,2020-03-16,6.0,2.0
bol u grlu,2020,13,150.37828630585514,2020-03-23,0.0,2.0
bol u grlu,2020,14,143.93350260703278,2020-03-30,0.0,1.0
bol u grlu,2020,15,96.67175548233544,2020-04-06,0.0,1.0
bol u grlu,2020,16,66.59609822116443,2020-04-13,0.0,1.0
bol u grlu,2020,17,55.85479205646048,2020-04-20,0.0,1.0
bol u grlu,2020,18,53.70653082351969,2020-04-27,0.0,1.0
bol u grlu,2020,19,38.66870219293418,2020-05-04,0.0,1.0
bol u grlu,2020,20,55.85479205646048,2020-05-11,0.0,1.0
bol u grlu,2020,21,45.11348589175654,2020-05-18,0.0,1.0
bol u grlu,2020,22,45.11348589175654,2020-05-25,0.0,1.0
bol u grlu,2020,23,64.44783698822363,2020-06-01,0.0,1.0
bol u grlu,2020,24,70.89262068704599,2020-06-08,0.0,1.0
bol u grlu,2020,25,90.22697178351308,2020-06-15,0.0,1.0
bol u grlu,2020,26,154.6748087717367,2020-06-22,0.0,1.0
bol u grlu,2020,27,148.23002507291434,2020-06-29,0.0,1.0
bol u grlu,2020,28,111.70958411292096,2020-07-06,0.0,1.0
bol u grlu,2020,29,116.00610657880254,2020-07-13,0.0,1.0
bol u grlu,2020,30,85.93044931763151,2020-07-20,0.0,1.0
bol u grlu,2020,31,73.04088191998679,2020-07-27,0.0,1.0
bol u grlu,2020,32,60.151314522342055,2020-08-03,0.0,1.0
bol u grlu,2020,33,66.59609822116443,2020-08-10,0.0,1.0
